"","ds","dep_var","trend","season","holiday","competitor_sales_B","events","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","intercept","depVarHat","solID","cluster","top_sol"
"1",2016-01-04,2171506.66666667,0,324597.160964892,0,998723.28967379,0,11963.5427198374,190207.67982246,2879.7361893524,23197.7413389156,26398.1469154755,17763.8356489025,769387.324203839,2365118.45747746,"3_165_9",4,FALSE
"2",2016-01-11,2464131.66666667,0,172792.249696766,-445.162420253679,1067144.68357584,0,2219.43475611288,146659.935159211,74220.978701965,31524.0736553424,27891.8260950547,12347.8233687787,769387.324203839,2303743.16679266,"3_165_9",4,FALSE
"3",2016-01-18,2012520,0,78416.8396841474,0,959944.684316252,0,114.18284409364,107014.022860405,1245.35053271587,22499.5986951775,24411.499699263,11361.6288877764,769387.324203839,1974395.13172367,"3_165_9",4,FALSE
"4",2016-01-25,1738911.66666667,0,67650.1531178526,0,792663.493713059,0,5.84641512240346,74448.242842031,42175.3209242471,13292.2704144973,24377.3477747235,6935.00493216684,769387.324203839,1790935.00433754,"3_165_9",4,FALSE
"5",2016-02-01,1772306.66666667,0,87232.5771580649,0,784745.155732355,0,16457.0105250196,112867.593943548,147.673216893558,0.782666928382953,23316.1509893352,2795.39159849177,769387.324203839,1796949.66003448,"3_165_9",4,FALSE
"6",2016-02-08,1809058.33333333,0,74205.4230911833,-53311.9252231546,840940.066432541,0,874.926309098477,79064.2407307677,6456.81290484598,19056.4760341617,23112.7685533026,2260.03909962007,769387.324203839,1762046.15213621,"3_165_9",4,FALSE
"7",2016-02-15,1952740,0,17998.2356520801,0,833837.820179125,0,267858.168283644,53255.1688116559,1628.01869620443,1764.56328519237,1604.90601067285,6738.83706882468,769387.324203839,1954073.04219124,"3_165_9",4,FALSE
"8",2016-02-22,1507805,0,-46158.8624828325,0,719879.538928082,0,34690.1508612379,34847.909813554,2.84839273175653,0.100631910499524,78.7572063030699,9046.6431631677,769387.324203839,1521774.41071799,"3_165_9",4,FALSE
"9",2016-02-29,1510391.66666667,0,-87012.9749471586,0,653205.317365847,0,176739.144790179,22348.3830693012,0.00488559662865311,6170.42690569716,21458.2932719137,507.757808394769,769387.324203839,1562803.67735361,"3_165_9",4,FALSE
"10",2016-03-07,1588840,0,-104922.49650481,0,715452.968043036,0,15054.0719585805,14140.8521997854,61784.5503954804,0.356177193863852,23577.8205808767,747.094308008629,769387.324203839,1495222.54136199,"3_165_9",4,FALSE
"11",2016-03-14,1605990,0,-115354.463009948,-109998.898828441,707207.420096225,0,45220.9761802075,108702.745487252,419.43053380041,2.02152484560768e-05,21885.6825328748,387.118163304369,769387.324203839,1427857.33537933,"3_165_9",4,FALSE
"12",2016-03-21,1356010,0,-124519.001425388,3880.96840025413,647314.821980353,0,2578.02322333361,75773.4033061294,0.723055769826854,1.14733868974674e-09,21543.1835102181,560.940923143261,769387.324203839,1396520.38717765,"3_165_9",4,FALSE
"13",2016-03-28,2103936.66666667,0,-132003.719107139,0,645386.64596563,0,132.739083164633,129465.593995403,51812.8836170009,89948.4078976682,22497.6537611108,1155.35724109021,769387.324203839,1577782.88665777,"3_165_9",4,FALSE
"14",2016-04-04,1120835,0,-147444.312247587,0,535350.445135476,0,6.79682058459845,92507.6704607773,238.077286701502,8.61542809168233,19838.8000152988,1276.84172623434,769387.324203839,1271170.25882942,"3_165_9",4,FALSE
"15",2016-04-11,1141140,0,-186782.285258713,0,539706.848456674,0,0.347927928252598,132223.972489088,0.409518212508892,0.000488989549328366,19622.4993646531,232.897439541567,769387.324203839,1274392.01463021,"3_165_9",4,FALSE
"16",2016-04-18,1166880,0,-247518.540653181,0,524593.471199342,0,5718.26505809741,94794.1573196933,0.000702389720536671,5668.10794035776,19229.5641827362,1325.58379562656,769387.324203839,1173197.9337489,"3_165_9",4,FALSE
"17",2016-04-25,888806.666666667,0,-299896.491723914,-61019.28944477,423937.957660131,0,296.540788187432,65013.647900469,1.20470559012735e-06,0.326728451135813,19292.2024958161,659.217327132892,769387.324203839,917671.435936547,"3_165_9",4,FALSE
"18",2016-05-02,898873.333333333,0,-314876.605782485,331233.787172898,409820.100614783,0,15.1898021577887,43102.2328053972,46979.0653537844,1.85438495305286e-05,16335.9460142314,378.160914154559,769387.324203839,1302375.2011173,"3_165_9",4,FALSE
"19",2016-05-09,889373.333333334,0,-298729.079837517,0,421215.169784605,0,0.777577762615373,115108.49747163,186.631638738738,1.05247660296379e-09,17272.4545020036,67.2180088651438,769387.324203839,1024508.99334993,"3_165_9",4,FALSE
"20",2016-05-16,1915375,0,-288789.719890141,0,435203.288436389,0,0.0398035140183525,80848.3350040059,0.320826012552757,20685.180038317,1077.89675879674,4019.6500927608,769387.324203839,1022432.31527349,"3_165_9",4,FALSE
"21",2016-05-23,1006845,0,-311091.994674757,0,471480.491742297,0,0.0020375030838167,156248.790973161,0.000550267716204684,1.24387701126683,52.5179776975466,7788.88203818695,769387.324203839,1093867.25872521,"3_165_9",4,FALSE
"22",2016-05-30,869198.333333334,0,-350384.178601543,0,414596.93652263,0,0.000104297787895777,115374.047528684,9.43793129620524e-07,7.05978481405838e-05,16733.3515735503,2617.90376787703,769387.324203839,968325.385170876,"3_165_9",4,FALSE
"23",2016-06-06,727250,0,-369692.690747665,0,347609.395307946,0,5.33890161878771e-06,81060.3813113512,1.61874927307e-09,4.0068586231642e-09,15885.4652587848,550.286472536906,769387.324203839,844800.161812137,"3_165_9",4,FALSE
